"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Diplomado en Diseño Universal para el Aprendizaje y Educación Inclusiva","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2610000","","","","","","","En este diplomado se brindan bases en torno a la importancia de intervenir desde una perspectiva de atención a la diversidad, tomando como base tendencias educativas actuales.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-diseno-universal-para-el-aprendizaje-y-educacion-inclusiva"
"Diplomado en Neuropsicología de las Funciones Ejecutivas y la Autorregulación","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2600000","","","","","","","Las Funciones Ejecutivas (FE) son procesos cognitivos que median el comportamiento orientado a metas.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-neuropsicologia-de-las-funciones-ejecutivas-y-la-autorregulacion"
"Diplomado en Inteligencia de Negocios para la Toma de Decisiones con Power BI","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2500000","","","","","","","Power BI es la herramienta por excelencia para la construcción de cuadros de mando o tableros que permitan la toma de decisiones a través de datos e información verídica de un proceso corporativo.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-inteligencia-de-negocios-para-la-toma-de-decisiones-con-power-bi"
"Diplomado en Responsabilidad Civil y del Estado","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2610000","","","","","","","El diplomado se dirige a estudiar los conceptos sobre las principales instituciones de la responsabilidad civil extracontractual, como son el daño, la culpa y el nexo causal.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-responsabilidad-civil-y-del-estado"
"Diplomado en Técnicas de Oralidad","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2080000","","","","","","","Con este diplomado se busca consolidar en el estudiante un conjunto de competencias comunicativas que le permitan demostrar conductas, persuadir, controvertir y determinar soluciones.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-tecnicas-de-oralidad"
"Diplomado en Estrategias de Inversión y Mercados Financieros","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","3000000","","","","","","","En un ambiente competido y globalizado, el mercado laboral busca profesionales propositivos, con iniciativa, creativos, innovadores, integrados a los mercados.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-estrategias-de-inversion-y-mercados-financieros"
"Diplomado en Procedimientos ante la Jurisdicción Especial para la Paz","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2500000","","","","","","","Especial para la Paz pretende ofrecer a los participantes los conocimientos básicos necesarios para comprender los diferentes procedimientos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-procedimientos-ante-la-jurisdiccion-especial-para-la-paz"
"Diplomado en Modelación Hidráulica","Educación Continua","Diplomado","Facultad de","Virtual","","1","2800000","","","","","","","En un contexto global de creciente presión sobre los recursos hídricos, la ingeniería moderna no puede limitarse únicamente al diseño de estructuras.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-modelacion-hidraulica-en-ingenieria"
"Curso en Design Thinking e Innovación Educativa","Educación Continua","Curso","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","1023000","","","","","","","Innovación Educativa está diseñado para educadores y profesionales del ámbito educativo interesados ​​en transformar y enriquecer sus prácticas pedagógicas.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-design-thinking-e-innovacion-educativa"
"Diplomado en Ciencia de Datos con Python","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2900000","","","","","","","Aprende a analizar información, crear visualizaciones impactantes y aplicar modelos estadísticos poderosos para resolver problemas reales y marcar la diferencia.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-ciencia-de-datos-con-python"
"Diplomado en Ciudades Sostenibles e Inteligentes","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2625000","","","","","","","Este diplomado crea un puente entre el análisis de la eficiencia energética de los edificios y su papel en el contexto urbano. Generando así una visión holística e introductoria de la problemática del cambio climático en las ciudades, su efecto en los edificios y a su vez el efecto de éstos mismos edificios dentro de los cambios de temperatura de las ciudades.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-ciudades-sostenibles-e-inteligentes"
