"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Maestría en Derecho Internacional","Posgrado","Maestría","Facultad de Estudios Jurídicos, Políticos e Internacionales Maestría en Derecho Internacional","Presencial","3","36","","","","102699","Magíster en Derecho Internacional","","equisito de admisión, será altamente valorada dentro del proceso de selección","Para responder idóneamente a las exigencias de los problemas sociales complejos que demandan soluciones jurídicas relacionadas con este ámbito del saber.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-derecho-internacional"
"Especialización en Seguros y Seguridad Social","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Seguros y Segu","Presencial","2","22","","","","7226","Especialista en Seguros y Seguridad Social Nivel Educativo: Posgrado","","","La especialización en Seguros y Seguridad Social adscrita a la Facultad de Estudios Jurídicos, Políticos e Internacionales ofrece un programa amplio e integral, dado que se estudian, además de los seguros de daños y de personas, los seguros de la seguridad social, pensiones, salud y riesgos laborales, lo que brinda la oportunidad a nuestros especialistas de ampliar su campo laboral.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-seguros-y-seguridad-social"
"Especialización en Derecho Comercial","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Derecho Comerc","Presencial","2","22","","","","52332","Especialista en Derecho Comercial","","","La Especialización en Derecho Comercial de la Facultad de Estudios Jurídicos, Políticos e Internacionales de la Universidad de La Sabana. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-derecho-comercial"
"Especialización en Derecho Tributario","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Derecho Tribut","Presencial","2","22","","","","55099","Especialista en Derecho Tributario","","","La especialización adscrita a la Facultad de Estudios Jurídicos, Políticos e Internacionales está estructurada sobre la base de un conocimiento de la normatividad.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-derecho-tributario"
"Especialización en Derecho y Empresa","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Derecho y Empr","Presencial","2","22","","","","102688","Especialista en Derecho y Empresa","","","La Especialización en Derecho y Empresa de la Facultad de Estudios Jurídicos, Políticos e Internacionales de la Universidad de La Sabana. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-derecho-y-empresa"
"Especialización en Responsabilidad Civil y del Estado","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Responsabilida","Presencial","2","22","","","","102585","Especialista en Responsabilidad Civil y del Estado","","","Especialización adscrita a la Facultad de Facultad de Estudios Jurídicos, Políticos e Internacionales está dirigida a profesionales de distintas disciplinas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-responsabilidad-civil-y-del-estado"
"Especialización en Contratación Estatal - Ibagué","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Contratación E","Presencial","2","22","","","","101786","Especialista en Contratación Estatal","","","La Especialización en Contratación Estatal de la Facultad de Estudios Jurídicos, Políticos e Internacionales de la Universidad de La Sabana. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-contratacion-estatal-ibague"
"Especialización en Contratación Estatal","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Contratación E","Virtual","2","24","","","","52624","Especialista en Contratación Estatal","","","La Especialización en Contratación Estatal de la Facultad de Estudios Jurídicos, Políticos e Internacionales de la Universidad de La Sabana. ¡Consulta ahora!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-contratacion-estatal"
"Especialización en Contratación Estatal - Neiva","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Contratación E","Presencial","2","22","","","","102689","Especialista en Contratación Estatal","","","La Especialización en Contratación Estatal de la Facultad de Estudios Jurídicos, Políticos e Internacionales de la Universidad de La Sabana. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-contratacion-estatal-neiva"
"Maestría en Derecho Laboral Empresarial","Posgrado","Maestría","Facultad de Estudios Jurídicos, Políticos e Internacionales Maestría en Derecho Laboral Empre","Virtual","3","36","","","","117174","Magíster en Derecho Laboral Empresarial","","","La Maestría en Derecho Laboral Empresarial de la Universidad de La Sabana pretende formar profesionales de distintas disciplinas como magísteres en Derecho Laboral Empresarial.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-derecho-laboral-empresarial"
"Doctorado en Derecho","Posgrado","Doctorado","Facultad de Estudios Jurídicos, Políticos e Internacionales Doctorado en Derecho Doctorado en","Presencial","8","88","","","","109456","","","equisitos: 1","El Doctorado en Derecho prepara investigadores con un profundo entendimiento teórico y práctico del derecho nacional e internacional. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-derecho"
"Especialización en Derecho Ambiental, Cambio Climático y Sostenibilidad","Posgrado","Especialización","Facultad de Estudios Jurídicos, Políticos e Internacionales Especialización en Derecho Ambien","Presencial","2","26","","","","117170","Especialista en Derecho Ambiental, Cambio Climático y Sostenibilidad","","","La Especialización en Derecho Ambiental, Cambio Climático y Sostenibilidad aborda la protección al ambiente sano y los derechos de las generaciones futuras.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-derecho-ambiental-cambio-climatico-y-sostenibilidad"
"Curso Sector Legal y Negocios Digitales: E-commerce y Fintech","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso en Sector Legal y Negocios","Virtual","","","","","","","","","","El curso está diseñado para comprender, estructurar y blindar jurídicamente los modelos de negocio digitales en Colombia","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-sector-legal-y-negocios-digitales-e-commerce-y-fintech"
"Curso Innovación Pública: liderazgo y análisis de datos","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso Innovación Pública: lideraz","Virtual","","","","","","","","","","Este curso está diseñado para introducir a los participantes al mundo de la ciencia de datos aplicada a la gestión pública, capacitandolos en el uso de grandes volúmenes de datos.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-innovacion-publica-liderazgo-y-analisis-de-datos"
"Curso Marketing en el Sector Legal","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso Marketing en el Sector Lega","Virtual","","","","","","","","","","Sector Legal busca brindar a los abogados las herramientas comerciales necesarias para entender a los clientes, identificar las oportunidades.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-marketing-en-el-sector-legal"
"Diplomado Contratación Estatal","Educación Continua","Diplomado","Facultad de Estudios Jurídicos, Políticos e Internacionales Diplomado Contratación Estatal Di","Virtual","","","","","","","","","","Este curso tiene el propósito de actualizar, profundizar y promover el estudio de sistema de compras y contratación pública a través de la normativa aplicable.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-contratacion-estatal"
"Diplomado en propiedad horizontal y gestión de proyectos inmobiliarios","Educación Continua","Diplomado","Facultad de Estudios Jurídicos, Políticos e Internacionales Diplomado en propiedad horizontal","Virtual","","","","","","","","","","Este programa académico integra los aspectos legales, financieros, territoriales y de gestión de riesgos esenciales para el éxito en el desarrollo de proyectos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-propiedad-horizontal-y-gestion-de-proyectos-inmobiliarios"
"Diplomado Compliance Anti-corrupción y Anti-lavado, más allá de las Normas y la Teoría","Educación Continua","Diplomado","Facultad de Estudios Jurídicos, Políticos e Internacionales Diplomado Compliance Anti-corrupc","Virtual","","","","","","","","","","El diplomado tiene un acercamiento que le permita a los participantes aplicar no solo las mejores prácticas al implementar programas de auto gestión del riesgo.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-compliance-anti-corrupcion-y-anti-lavado-mas-alla-de-las-normas-y-la-teoria"
